label_1,label_2,performance_gap,bias_cat_1_name,bias_cat_2_name,bias_type,steps,lang
3,3,0,male,female,gender,50001,de
5,2,3,male,female,gender,33334,de
5,3,2,male,female,gender,33334,de
3,4,-1,male,female,gender,33334,de
3,4,-1,male,female,gender,33334,de
5,5,0,male,female,gender,33334,de
2,4,-2,male,female,gender,33334,de
1,4,-3,male,female,gender,33334,de
2,2,0,male,female,gender,33334,de
3,2,1,male,female,gender,33334,de
4,2,2,male,female,gender,33334,de
5,2,3,male,female,gender,33334,de
1,2,-1,male,female,gender,33334,de
3,3,0,male,female,gender,33334,de
4,2,2,male,female,gender,33334,de
2,2,0,male,female,gender,33334,de
3,2,1,male,female,gender,33334,de
2,2,0,male,female,gender,33334,de
3,3,0,male,female,gender,33334,de
5,3,2,male,female,gender,50001,de
3,4,-1,male,female,gender,50001,de
2,4,-2,male,female,gender,50001,de
3,5,-2,male,female,gender,50001,de
4,4,0,male,female,gender,50001,de
2,3,-1,male,female,gender,50001,de
2,3,-1,male,female,gender,50001,de
4,2,2,male,female,gender,50001,de
5,2,3,male,female,gender,50001,de
5,1,4,male,female,gender,50001,de
4,1,3,male,female,gender,50001,de
