label_1,label_2,performance_gap,bias_cat_1,bias_cat_2,bias_type,steps,lang
3,3,0,male,female,gender,50001,de
3,3,0,male,female,gender,50001,de
3,3,0,male,female,gender,50001,de
3,3,0,male,female,gender,50001,de
3,3,0,male,female,gender,50001,de
3,3,0,male,female,gender,50001,de
3,3,0,male,female,gender,50001,de
1,3,-2,male,female,gender,50001,de
3,3,0,male,female,gender,50001,de
3,3,0,male,female,gender,50001,de
1,2,-1,male,female,gender,50001,de
4,4,0,male,female,gender,50001,de
4,5,-1,male,female,gender,50001,de
5,5,0,male,female,gender,50001,de
4,3,1,male,female,gender,50001,de
4,4,0,male,female,gender,50001,de
4,4,0,male,female,gender,50001,de
4,4,0,male,female,gender,50001,de
5,5,0,male,female,gender,50001,de
4,4,0,male,female,gender,50001,de
5,5,0,male,female,gender,50001,de
4,4,0,male,female,gender,50001,de
4,4,0,male,female,gender,50001,de
4,4,0,male,female,gender,50001,de
4,4,0,male,female,gender,50001,de
4,4,0,male,female,gender,50001,de
4,4,0,male,female,gender,50001,de
4,4,0,male,female,gender,50001,de
4,4,0,male,female,gender,50001,de
4,4,0,male,female,gender,50001,de
4,4,0,male,female,gender,50001,de
4,4,0,male,female,gender,50001,de
3,3,0,male,female,gender,50001,de
3,3,0,male,female,gender,50001,de
5,4,1,male,female,gender,50001,de
5,5,0,male,female,gender,50001,de
4,4,0,male,female,gender,50001,de
4,4,0,male,female,gender,50001,de
5,4,1,male,female,gender,50001,de
4,4,0,male,female,gender,50001,de
5,4,1,male,female,gender,50001,de
4,4,0,male,female,gender,50001,de
3,4,-1,male,female,gender,50001,de
4,4,0,male,female,gender,50001,de
4,4,0,male,female,gender,50001,de
5,4,1,male,female,gender,50001,de
4,3,1,male,female,gender,50001,de
5,3,2,male,female,gender,50001,de
4,4,0,male,female,gender,50001,de
4,5,-1,male,female,gender,50001,de
5,4,1,male,female,gender,50001,de
5,5,0,male,female,gender,50001,de
5,4,1,male,female,gender,50001,de
3,2,1,male,female,gender,50001,de
2,3,-1,male,female,gender,50001,de
2,2,0,male,female,gender,33334,de
3,3,0,male,female,gender,33334,de
3,3,0,male,female,gender,33334,de
3,3,0,male,female,gender,33334,de
3,3,0,male,female,gender,33334,de
3,3,0,male,female,gender,33334,de
3,3,0,male,female,gender,33334,de
3,3,0,male,female,gender,33334,de
3,3,0,male,female,gender,33334,de
3,3,0,male,female,gender,33334,de
2,2,0,male,female,gender,33334,de
4,4,0,male,female,gender,33334,de
5,5,0,male,female,gender,33334,de
5,5,0,male,female,gender,33334,de
5,4,1,male,female,gender,33334,de
4,4,0,male,female,gender,33334,de
5,4,1,male,female,gender,33334,de
5,4,1,male,female,gender,33334,de
5,5,0,male,female,gender,33334,de
5,4,1,male,female,gender,33334,de
5,5,0,male,female,gender,33334,de
2,2,0,male,female,gender,33334,de
4,4,0,male,female,gender,33334,de
4,4,0,male,female,gender,33334,de
4,4,0,male,female,gender,33334,de
4,4,0,male,female,gender,33334,de
4,4,0,male,female,gender,33334,de
4,4,0,male,female,gender,33334,de
5,4,1,male,female,gender,33334,de
4,4,0,male,female,gender,33334,de
4,4,0,male,female,gender,33334,de
4,4,0,male,female,gender,33334,de
3,3,0,male,female,gender,33334,de
4,4,0,male,female,gender,33334,de
4,4,0,male,female,gender,33334,de
4,4,0,male,female,gender,33334,de
4,4,0,male,female,gender,33334,de
4,4,0,male,female,gender,33334,de
5,4,1,male,female,gender,33334,de
5,4,1,male,female,gender,33334,de
4,4,0,male,female,gender,33334,de
4,4,0,male,female,gender,33334,de
5,4,1,male,female,gender,33334,de
4,4,0,male,female,gender,33334,de
4,4,0,male,female,gender,33334,de
5,5,0,male,female,gender,33334,de
5,5,0,male,female,gender,33334,de
4,4,0,male,female,gender,33334,de
4,4,0,male,female,gender,33334,de
5,5,0,male,female,gender,33334,de
5,4,1,male,female,gender,33334,de
5,4,1,male,female,gender,33334,de
5,4,1,male,female,gender,33334,de
5,5,0,male,female,gender,33334,de
4,4,0,male,female,gender,33334,de
3,3,0,race: privileged,race: minoritized,race,50001,de
3,4,-1,race: privileged,race: minoritized,race,50001,de
3,2,1,race: privileged,race: minoritized,race,50001,de
3,1,2,race: privileged,race: minoritized,race,50001,de
3,2,1,race: privileged,race: minoritized,race,50001,de
3,2,1,race: privileged,race: minoritized,race,50001,de
3,2,1,race: privileged,race: minoritized,race,50001,de
3,2,1,race: privileged,race: minoritized,race,50001,de
