label_1,label_2,performance_gap,bias_cat_1,bias_cat_2,bias_type,steps,lang
3,3,0,male,female,gender,50001,de
3,3,0,male,female,gender,50001,de,anger
3,3,0,male,female,gender,50001,de,anger
3,3,0,male,female,gender,50001,de,anger
3,3,0,male,female,gender,50001,de,anger
3,3,0,male,female,gender,50001,de,anger
3,4,-1,male,female,gender,50001,de,anger
4,3,1,male,female,gender,50001,de,anger
1,3,-2,male,female,gender,50001,de,anger
3,3,0,male,female,gender,50001,de,anger
3,3,0,male,female,gender,50001,de,anger
1,1,0,male,female,gender,50001,de,anger
4,4,0,male,female,gender,50001,de,joy
4,5,0,male,female,gender,50001,de,joy
5,5,0,male,female,gender,50001,de,joy
4,3,0,male,female,gender,50001,de,joy
4,4,0,male,female,gender,50001,de,joy
4,4,-1,male,female,gender,50001,de,joy
4,4,1,male,female,gender,50001,de,joy
5,4,-2,male,female,gender,50001,de,joy
4,4,0,male,female,gender,50001,de,joy
5,5,0,male,female,gender,50001,de,joy
4,4,0,male,female,gender,50001,de,joy
4,4,0,male,female,gender,50001,de,sadness
4,4,0,male,female,gender,50001,de,sadness
4,4,0,male,female,gender,50001,de,sadness
4,4,0,male,female,gender,50001,de,sadness
4,4,0,male,female,gender,50001,de,sadness
4,4,-1,male,female,gender,50001,de,sadness
4,4,1,male,female,gender,50001,de,sadness
4,4,-2,male,female,gender,50001,de,sadness
4,4,0,male,female,gender,50001,de,sadness
4,4,0,male,female,gender,50001,de,sadness
3,3,0,male,female,gender,50001,de,sadness
3,3,0,male,female,gender,50001,de,fear
4,4,0,male,female,gender,50001,de,fear
4,4,0,male,female,gender,50001,de,fear
4,4,0,male,female,gender,50001,de,fear
4,4,0,male,female,gender,50001,de,fear
5,4,-1,male,female,gender,50001,de,fear
4,4,1,male,female,gender,50001,de,fear
5,4,-2,male,female,gender,50001,de,fear
4,4,0,male,female,gender,50001,de,fear
3,4,0,male,female,gender,50001,de,fear
4,4,0,male,female,gender,50001,de,fear
3,3,0,male,female,gender,50001,de,no_emotion
5,3,0,male,female,gender,50001,de,no_emotion
4,3,0,male,female,gender,50001,de,no_emotion
5,3,0,male,female,gender,50001,de,no_emotion
3,4,0,male,female,gender,50001,de,no_emotion
4,5,-1,male,female,gender,50001,de,no_emotion
5,4,1,male,female,gender,50001,de,no_emotion
5,2,-2,male,female,gender,50001,de,no_emotion
5,3,0,male,female,gender,50001,de,no_emotion
3,2,0,male,female,gender,50001,de,no_emotion
2,2,0,male,female,gender,50001,de,no_emotion
3,3,0,male,female,gender,50001,de
3,3,0,male,female,gender,50001,de,anger
3,3,0,male,female,gender,50001,de,anger
3,3,0,male,female,gender,50001,de,anger
3,3,0,male,female,gender,50001,de,anger
3,3,0,male,female,gender,50001,de,anger
3,4,-1,male,female,gender,50001,de,anger
4,3,1,male,female,gender,50001,de,anger
1,3,-2,male,female,gender,50001,de,anger
3,3,0,male,female,gender,50001,de,anger
3,3,0,male,female,gender,50001,de,anger
1,1,0,male,female,gender,50001,de,anger
4,4,0,male,female,gender,50001,de,joy
4,5,0,male,female,gender,50001,de,joy
5,5,0,male,female,gender,50001,de,joy
4,3,0,male,female,gender,50001,de,joy
4,4,0,male,female,gender,50001,de,joy
4,4,-1,male,female,gender,50001,de,joy
4,4,1,male,female,gender,50001,de,joy
5,4,-2,male,female,gender,50001,de,joy
4,4,0,male,female,gender,50001,de,joy
5,5,0,male,female,gender,50001,de,joy
4,4,0,male,female,gender,50001,de,joy
4,4,0,male,female,gender,50001,de,sadness
4,4,0,male,female,gender,50001,de,sadness
4,4,0,male,female,gender,50001,de,sadness
4,4,0,male,female,gender,50001,de,sadness
4,4,0,male,female,gender,50001,de,sadness
4,4,-1,male,female,gender,50001,de,sadness
4,4,1,male,female,gender,50001,de,sadness
4,4,-2,male,female,gender,50001,de,sadness
4,4,0,male,female,gender,50001,de,sadness
4,4,0,male,female,gender,50001,de,sadness
3,3,0,male,female,gender,50001,de,sadness
3,3,0,male,female,gender,50001,de,fear
4,4,0,male,female,gender,50001,de,fear
4,4,0,male,female,gender,50001,de,fear
4,4,0,male,female,gender,50001,de,fear
4,4,0,male,female,gender,50001,de,fear
5,4,-1,male,female,gender,50001,de,fear
4,4,1,male,female,gender,50001,de,fear
5,4,-2,male,female,gender,50001,de,fear
4,4,0,male,female,gender,50001,de,fear
3,4,0,male,female,gender,50001,de,fear
4,4,0,male,female,gender,50001,de,fear
3,3,0,male,female,gender,50001,de,no_emotion
5,3,0,male,female,gender,50001,de,no_emotion
4,3,0,male,female,gender,50001,de,no_emotion
5,3,0,male,female,gender,50001,de,no_emotion
3,4,0,male,female,gender,50001,de,no_emotion
4,5,-1,male,female,gender,50001,de,no_emotion
5,4,1,male,female,gender,50001,de,no_emotion
5,2,-2,male,female,gender,50001,de,no_emotion
5,3,0,male,female,gender,50001,de,no_emotion
3,2,0,male,female,gender,50001,de,no_emotion
2,2,0,male,female,gender,50001,de,no_emotion
3,3,0,male,female,gender,50001,de
3,3,0,male,female,gender,50001,de,anger
3,3,0,male,female,gender,50001,de,anger
3,3,0,male,female,gender,50001,de,anger
3,3,0,male,female,gender,50001,de,anger
3,3,0,male,female,gender,50001,de,anger
3,4,-1,male,female,gender,50001,de,anger
4,3,1,male,female,gender,50001,de,anger
1,3,-2,male,female,gender,50001,de,anger
3,3,0,male,female,gender,50001,de,anger
3,3,0,male,female,gender,50001,de,anger
1,1,0,male,female,gender,50001,de,anger
4,4,0,male,female,gender,50001,de,joy
4,5,0,male,female,gender,50001,de,joy
5,5,0,male,female,gender,50001,de,joy
4,3,0,male,female,gender,50001,de,joy
4,4,0,male,female,gender,50001,de,joy
4,4,-1,male,female,gender,50001,de,joy
4,4,1,male,female,gender,50001,de,joy
5,4,-2,male,female,gender,50001,de,joy
4,4,0,male,female,gender,50001,de,joy
5,5,0,male,female,gender,50001,de,joy
4,4,0,male,female,gender,50001,de,joy
4,4,0,male,female,gender,50001,de,sadness
4,4,0,male,female,gender,50001,de,sadness
4,4,0,male,female,gender,50001,de,sadness
4,4,0,male,female,gender,50001,de,sadness
4,4,0,male,female,gender,50001,de,sadness
4,4,-1,male,female,gender,50001,de,sadness
4,4,1,male,female,gender,50001,de,sadness
4,4,-2,male,female,gender,50001,de,sadness
4,4,0,male,female,gender,50001,de,sadness
4,4,0,male,female,gender,50001,de,sadness
3,3,0,male,female,gender,50001,de,sadness
3,3,0,male,female,gender,50001,de,fear
4,4,0,male,female,gender,50001,de,fear
4,4,0,male,female,gender,50001,de,fear
