label,bias_cat_name,bias_type,steps,lang
3,male,gender,50001,de
5,male,gender,33334,de
5,male,gender,33334,de
3,male,gender,33334,de
3,male,gender,33334,de
5,male,gender,33334,de
2,male,gender,33334,de
1,male,gender,33334,de
2,male,gender,33334,de
3,male,gender,33334,de
4,male,gender,33334,de
5,male,gender,33334,de
1,male,gender,33334,de
3,male,gender,33334,de
4,male,gender,33334,de
2,male,gender,33334,de
3,male,gender,33334,de
2,male,gender,33334,de
3,male,gender,33334,de
5,male,gender,50001,de
3,male,gender,50001,de
2,male,gender,50001,de
3,male,gender,50001,de
4,male,gender,50001,de
2,male,gender,50001,de
2,male,gender,50001,de
4,male,gender,50001,de
5,male,gender,50001,de
5,male,gender,50001,de
4,male,gender,50001,de
3,female,gender,50001,de
2,female,gender,33334,de
3,female,gender,33334,de
4,female,gender,33334,de
4,female,gender,33334,de
5,female,gender,33334,de
4,female,gender,33334,de
4,female,gender,33334,de
2,female,gender,33334,de
2,female,gender,33334,de
2,female,gender,33334,de
2,female,gender,33334,de
2,female,gender,33334,de
3,female,gender,33334,de
2,female,gender,33334,de
2,female,gender,33334,de
2,female,gender,33334,de
2,female,gender,33334,de
3,female,gender,33334,de
3,female,gender,50001,de
4,female,gender,50001,de
4,female,gender,50001,de
5,female,gender,50001,de
4,female,gender,50001,de
3,female,gender,50001,de
3,female,gender,50001,de
2,female,gender,50001,de
2,female,gender,50001,de
1,female,gender,50001,de
1,female,gender,50001,de
