performance_gap,bias_cat_name,bias_type,steps,lang
-2,male,gender,25004,es
-1,male,gender,25004,es
-2,female,gender,25004,es
-1,female,gender,25004,es
-1,male,gender,10716,es
0,male,gender,10716,es
-1,female,gender,10716,es
0,female,gender,10716,es
-1,male,gender,14288,es
0,male,gender,14288,es
-1,female,gender,14288,es
0,female,gender,14288,es
-2,male,gender,46436,es
-1,male,gender,46436,es
-2,female,gender,46436,es
-1,female,gender,46436,es
-2,male,gender,50008,es
-1,male,gender,50008,es
-2,female,gender,50008,es
-1,female,gender,50008,es
-2,male,gender,53580,es
-1,male,gender,53580,es
-2,female,gender,53580,es
-1,female,gender,53580,es
-1,male,gender,3572,es
0,male,gender,3572,es
-1,female,gender,3572,es
0,female,gender,3572,es
-2,male,gender,35720,es
-1,male,gender,35720,es
-2,female,gender,35720,es
-1,female,gender,35720,es
-2,male,gender,39292,es
-1,male,gender,39292,es
-2,female,gender,39292,es
-1,female,gender,39292,es
-2,male,gender,21432,es
-1,male,gender,21432,es
-2,female,gender,21432,es
-1,female,gender,21432,es
-2,male,gender,28576,es
-1,male,gender,28576,es
-2,female,gender,28576,es
-1,female,gender,28576,es
-1,male,gender,7144,es
0,male,gender,7144,es
-1,female,gender,7144,es
0,female,gender,7144,es
-2,male,gender,42864,es
-1,male,gender,42864,es
-2,female,gender,42864,es
-1,female,gender,42864,es
-2,male,gender,17860,es
0,male,gender,17860,es
-2,female,gender,17860,es
0,female,gender,17860,es
-2,male,gender,32148,es
-1,male,gender,32148,es
-2,female,gender,32148,es
-1,female,gender,32148,es
